,,,,,,,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Spends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Gap (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CQGR% (Revenue),,,,12-M CMGR%,6-M CMGR%,YoY Quarter Growth,2024 - 2025,,,2025 - 2026,,,2026 - 2027,,,2027 - 2028,,,Seasonal Influence,,,,,,,,,,,
SD Category,Category,Channels Sub,Channels - Main,Category Owner,New/Existing,Launch Month (2024+),Accounted In SD Total,Jan'24,Feb'24,Mar'24,Apr'24,May'24,Jun'24,Jul'24,Aug'24,Sep'24,Oct'24,Nov'24,Dec'24,Jan'25,Feb'25,Mar'25,Apr'25,May'25,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25,Jan'26,Feb'26,Mar'26,Apr'26,May'26,Jun'26,Jul'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Jul'27,Aug'27,Sep'27,Oct'27,Nov'27,Dec'27,Jan'28,Feb'28,Mar'28,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May'26,Jun'26,Jul'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Jul'27,Aug'27,Sep'27,Oct'27,Nov'27,Dec'27,Jan'28,Feb'28,Mar'28,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May'26,Jun'26,Jul'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Jul'27,Aug'27,Sep'27,Oct'27,Nov'27,Dec'27,Jan'28,Feb'28,Mar'28,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May'26,Jun'26,Jul'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Jul'27,Aug'27,Sep'27,Oct'27,Nov'27,Dec'27,Jan'28,Feb'28,Mar'28,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May'26,Jun'26,Jul'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Jul'27,Aug'27,Sep'27,Oct'27,Nov'27,Dec'27,Jan'28,Feb'28,Mar'28,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May'26,Jun'26,Jul'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Jul'27,Aug'27,Sep'27,Oct'27,Nov'27,Dec'27,Jan'28,Feb'28,Mar'28,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May'26,Jun'26,Jul'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Jul'27,Aug'27,Sep'27,Oct'27,Nov'27,Dec'27,Jan'28,Feb'28,Mar'28,Q2 2025,Q3 2025,Q4 2025,Q1 2026,2025 VS 2026,Oct 2025 Vs Mar 2026,Q1-2025 vs Q1-2026,Actual Rev,Exit ARR,SD ARR,Actual Rev,Exit ARR,SD ARR,Actual Rev,Exit ARR,SD ARR,Actual Rev,Exit ARR,SD ARR,Mar–Jun,Jul–Sep,Oct–Dec,Jan–Feb,Summer Run Rate,Monsoon Run Rate,Festive Run Rate,Winter Run Rate,% inc sum to Mon,% inc Mon to Fest,% Inc Fes to Win,% Inc Win to Sum
FACE MALAI TOTAL,Face Malai,D2C,D2C,Tanu,Existing,Jan'24,Yes,2757250,2460327,3088685,2740677,1985936,1750547,2490946,1939586,1756552,1882570,2938774,2747195,2604159,2054387,2451278,2568327,1796746,1677719,2009397,1815320,1716189,2185807,3777501,3100659,2095726,1602154,1781746,1741844,715578,760558,825966,874335,652301,689700,744553,817981,825533,883321,902126,1068107,1030011,1112411,1201831,1267933,1230741,1353815,1516272,1622412,1735981,1840139,1950547,1253380,992910,1049706,597262,382926,504419,1418687,1090807,548933,1007259,1725389,1458601,1603968,1090685,1264635,1676936,1280919,877548,949895,747421,478320,848252,1911690,1116292,497834,463675,412022,345575,370010,393268,427089,452099,337291,356628,365743,401812,405521,433909,443146,524680,505967,546443,590369,622839,604570,665026,707589,757120,810117,858724,910247,73%,71%,71%,70%,64%,68%,70%,68%,66%,64%,66%,61%,65%,61%,64%,66%,58%,59%,61%,63%,59%,59%,58%,58%,55%,52%,58%,60%,33%,33%,33%,33%,23%,22%,20%,21%,19%,19%,18%,18%,17%,17%,17%,17%,16%,16%,16%,16%,16%,16%,16%,79%,77%,68%,56%,44%,56%,74%,68%,60%,80%,82%,72%,90%,86%,61%,84%,90%,88%,85%,89%,68%,73%,81%,79%,74%,69%,73%,65%,60%,60%,60%,59%,44%,43%,40%,40%,38%,38%,36%,36%,34%,35%,35%,35%,33%,33%,31%,31%,31%,31%,31%,2.2,2.5,2.9,4.6,5.2,3.5,1.8,1.8,3.2,1.9,1.7,1.9,1.6,1.9,1.9,1.5,1.4,1.9,2.1,2.4,3.6,2.6,2.0,2.8,4.2,3.5,4.3,5.0,-5%,-21%,19%,5%,-30%,-7%,20%,-10%,-5%,27%,73%,-18%,-32%,-24%,11%,-2%,-59%,6%,9%,6%,-25%,6%,8%,10%,1%,7%,2%,18%,-4%,8%,8%,6%,-3%,10%,12%,7%,7%,6%,6%,10%,-32%,16%,33%,-24%,-31%,8%,-21%,-36%,77%,125%,-42%,-55%,-7%,-11%,-16%,7%,6%,9%,6%,-25%,6%,3%,10%,1%,7%,2%,18%,-4%,8%,8%,5%,-3%,10%,6%,7%,7%,6%,6%,-11%,-3%,28%,6%,-25%,-12%,-12%,-31%,50%,53%,-24%,-23%,17%,-22%,-14%,66%,0%,0%,0%,0%,0%,-5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,-20%,-18%,24%,-36%,-3%,-3%,-23%,27342607,28439296,,26127291,21380952,,10433796,10443920,,16930200,22106668,,8494070,5540906,9063967,3697880,2123518,1846969,3021322,1848940,-13%,64%,-39%,-13%
FACE MALAI TOTAL,Face Malai,NYKAA,ECOMMERCE,Tanu,Existing,Jan'24,Yes,260910,263275,272157,262837,308325,211094,288243,254116,241749,270304,530000,575219,372962,449725,408510,422989,422776,323686,410095,314748,321600,443163,954405,730186,498116,484580,386023,327277,336743,380279,412984,408023,326150,371377,434322,477155,525339,481811,541276,640863,686674,741607,801222,845289,769212,846134,947670,1014007,1084987,1150087,1219092,,,,,,,,,,,,,,,,22960,35460,10137,13014,11471,12928,18252,76709,41902,34976,30808,12858,6246,24917,28139,30558,30190,24133,27480,32137,35307,38872,35651,40052,47420,50809,54874,59286,62546,56916,62608,70122,75030,80283,85100,90205,7%,8%,6%,7%,10%,8%,8%,9%,9%,9%,12%,13%,9%,13%,11%,11%,14%,11%,12%,11%,11%,12%,15%,14%,13%,16%,13%,11%,16%,16%,16%,15%,11%,12%,12%,12%,12%,11%,11%,11%,11%,11%,12%,12%,10%,10%,10%,10%,10%,10%,10%,,,,,,,,,,,,,,,,1%,3%,1%,1%,1%,2%,2%,3%,3%,5%,5%,2%,1%,4%,4%,4%,4%,3%,3%,4%,4%,4%,3%,3%,3%,3%,3%,4%,4%,3%,3%,3%,3%,3%,3%,3%,,,,,,,,,,,,,,,,18.4,11.9,31.9,31.5,27.4,24.9,24.3,12.4,17.4,14.2,15.7,30.0,52.4,-35%,21%,-9%,4%,0%,-23%,27%,-23%,2%,38%,115%,-23%,-32%,-3%,-20%,-15%,3%,13%,9%,-1%,-20%,14%,17%,10%,10%,-8%,12%,18%,7%,8%,8%,5%,-9%,10%,12%,7%,7%,6%,6%,,,,,54%,-71%,28%,-12%,13%,41%,320%,-45%,-17%,-12%,-58%,-51%,299%,13%,9%,-1%,-20%,14%,17%,10%,10%,-8%,12%,18%,7%,8%,8%,5%,-9%,10%,12%,7%,7%,6%,6%,,,,54%,-48%,2%,11%,11%,3%,205%,-22%,15%,-9%,-38%,-36%,296%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-7%,-13%,33%,-42%,0%,-2%,11%,4173084,4924790,,5712367,4632276,,5022736,6193704,,10746844,13816664,,1577961,1046443,2127754,982696,394490,348814,709251,491348,-12%,103%,-31%,25%
FACE MALAI TOTAL,Face Malai,AMAZON,ECOMMERCE,Tanu,Existing,Jan'24,Yes,659656,631734,851753,760624,650685,438078,563393,555980,510108,580701,696995,720951,747739,600976,667056,568823,600303,557466,643265,553750,608569,681926,1162474,1079262,742732,686462,538573,526056,757672,808093,877589,932624,745486,795807,930690,954310,1050679,1124226,1172763,1388538,1487792,1483216,1602443,1690577,1846111,2030721,2274408,2433616,2603969,2760207,2925820,324000,286000,480000,440000,426892,380930,499000,497006,277956,201942,309707,136913,121355,131304,49686,94409,77566,67427,69886,69865,189260,238812,272375,179025,98322,128458,84028,146131,155743,166107,180391,191705,153237,163580,181741,186353,205172,219533,229012,271147,290530,289637,312918,330129,360501,396551,480037,513640,549594,582571,617526,17%,18%,20%,19%,21%,17%,16%,19%,19%,20%,16%,16%,19%,18%,17%,15%,19%,20%,19%,19%,21%,18%,18%,20%,19%,22%,18%,18%,35%,35%,35%,35%,26%,25%,25%,24%,25%,25%,24%,24%,24%,23%,23%,23%,24%,24%,24%,24%,24%,24%,24%,20%,22%,31%,41%,50%,43%,26%,31%,30%,16%,15%,7%,7%,10%,2%,5%,5%,7%,6%,8%,27%,21%,12%,13%,15%,19%,15%,28%,25%,25%,25%,25%,20%,20%,20%,19%,19%,19%,19%,19%,20%,18%,19%,19%,20%,20%,21%,21%,21%,21%,21%,2.0,2.2,1.8,1.7,1.5,1.2,1.1,1.1,1.8,2.9,2.3,5.3,6.2,4.6,13.4,6.0,7.7,8.3,9.2,7.9,3.2,2.9,4.3,6.0,7.6,5.3,6.4,3.6,4%,-20%,11%,-15%,6%,-7%,15%,-14%,10%,12%,70%,-7%,-31%,-8%,-22%,-2%,44%,7%,9%,6%,-20%,7%,17%,3%,10%,7%,4%,18%,7%,0%,8%,5%,9%,10%,12%,7%,7%,6%,6%,-11%,8%,-62%,90%,-18%,-13%,4%,0%,171%,26%,14%,-34%,-45%,31%,-35%,74%,7%,7%,9%,6%,-20%,7%,11%,3%,10%,7%,4%,18%,7%,0%,8%,6%,9%,10%,21%,7%,7%,6%,6%,28%,-73%,105%,-23%,-6%,-12%,14%,161%,14%,-56%,-27%,-14%,38%,-13%,76%,-37%,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,-14%,3%,30%,-22%,-2%,-4%,-2%,7493286,8063083,,8423605,6462876,,10675995,13390672,,24527418,33159984,,2393648,1805584,2923662,1429194,598412,601861,974554,714597,1%,62%,-27%,19%
FACE MALAI TOTAL,Face Malai,FLIPKART,ECOMMERCE,Tanu,Existing,Jan'24,Yes,65468,48129,58642,75398,88003,47911,48360,47911,61378,75928,82920,96625,115700,107400,118550,167006,119457,103056,63721,47349,85832,101330,210283,183495,122821,97309,139969,142814,126278,142604,154868,174867,139778,159162,186137,204495,225145,240905,270637,320433,343337,370804,400611,422644,461527,507681,568603,608404,650992,690052,731456,6000,5000,8000,34000,52000,10000,12000,16000,90868,29414,13136,22205,24154,19196,24994,153795,,20391,13240,941,59,32840,57975,43117,15567,23567,19886,10356,33318,37626,40861,46137,36880,41993,49112,53955,59403,63561,71406,84544,90587,97835,105700,111511,115683,127251,142521,152497,163172,172963,183340,2%,1%,1%,2%,3%,2%,1%,2%,2%,3%,2%,2%,3%,3%,3%,4%,4%,4%,2%,2%,3%,3%,3%,3%,3%,3%,5%,5%,6%,6%,6%,7%,5%,5%,5%,5%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,0%,0%,1%,3%,6%,1%,1%,1%,10%,2%,1%,1%,1%,2%,1%,8%,,2%,1%,0%,0%,3%,2%,3%,2%,4%,4%,2%,5%,6%,6%,6%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,10.9,9.6,7.3,2.2,1.7,4.8,4.0,3.0,0.7,2.6,6.3,4.4,4.8,5.6,4.7,1.1,,5.1,4.8,50.3,1454.8,3.1,3.6,4.3,7.9,4.1,7.0,13.8,20%,-7%,10%,41%,-28%,-14%,-38%,-26%,81%,18%,108%,-13%,-33%,-21%,44%,2%,-12%,13%,9%,13%,-20%,14%,17%,10%,10%,7%,12%,18%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,9%,-21%,30%,515%,,,-35%,-93%,-94%,55561%,77%,-26%,-64%,51%,-16%,-48%,222%,13%,9%,13%,-20%,14%,17%,10%,10%,7%,12%,18%,7%,8%,8%,5%,4%,10%,12%,7%,7%,6%,6%,-13%,20%,474%,,,3%,-67%,-175%,55543%,-31%,-13%,-31%,72%,-59%,-50%,233%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-5%,0%,0%,0%,0%,0%,0%,-6%,-28%,70%,-44%,1%,6%,5%,966084,1366600,,1441628,1679628,,2167690,2946748,,6076544,8290000,,508069,196902,495108,220130,127017,65634,165036,110065,-48%,151%,-33%,-13%
FACE MALAI TOTAL,Face Malai,MYNTRA,ECOMMERCE,Tanu,Existing,Jan'25,Yes,,,,,,,,,,,,,148449,,,,94162,147723,128814,121150,118137,128895,158146,154203,119222,74430,88528,75555,42092,47535,51623,58289,46593,53053,62046,68166,75049,80302,90212,106811,114446,123601,133538,140881,153842,169226,189534,202801,216998,230017,243819,,,,,,0,0,0,0,13257,50352,70237,37383,31414,57404,40507,24003,17801,65347,11559,23028,25077,43493,18540,7207,5445,11368,3288,4523,5107,5546,6263,5005,5700,6666,7322,8062,8626,9691,11475,12294,13279,14346,15135,16529,18181,20362,21788,23313,24710,26193,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,3%,5%,4%,4%,4%,3%,2%,3%,3%,2%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,1%,2%,3%,2%,2%,3%,2%,2%,2%,6%,1%,3%,2%,2%,1%,1%,1%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,,,,,,,,4.0,,,,3.9,8.3,2.0,10.5,5.1,5.1,3.6,8.3,16.5,13.7,7.8,23.0,,,,,,57%,-13%,-6%,-2%,9%,23%,-2%,-23%,-38%,19%,-15%,-44%,13%,9%,13%,-20%,14%,17%,10%,10%,7%,12%,18%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,-47%,-16%,83%,-29%,-41%,-26%,267%,-82%,99%,9%,73%,-57%,-61%,-24%,109%,-71%,38%,13%,9%,13%,-20%,14%,17%,10%,10%,7%,12%,18%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,-83%,280%,-76%,102%,0%,51%,-55%,-38%,13%,90%,-56%,82%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,9%,-64%,,-6%,90%,148449,593794,,1333410,1062336,,750515,982252,,2025514,2763336,,241885,368101,441244,193652,60471,122700,147081,96826,103%,20%,-34%,60%
FACE MALAI TOTAL,Face Malai,BLINKIT,QUICK COMMERCE,Tanu,Existing,Jan'25,Yes,,,,,,,,,,,,,2793,,,,,,,,,,,,,,-,-,,,,,419336,477485,558414,613485,675437,722718,811914,961296,1030011,1112411,1201831,1267933,1384583,1523042,1705806,1825211,1952977,2070156,2194365,,,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,90022,102505,119878,131700,145000,155149,174298,205534,220226,226867,245103,258585,282373,310611,347884,372236,398293,422190,447522,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,15%,15%,15%,16%,16%,16%,16%,16%,17%,17%,17%,17%,18%,18%,18%,18%,18%,18%,18%,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,12%,12%,13%,13%,14%,14%,14%,14%,15%,14%,15%,15%,15%,15%,15%,15%,15%,15%,15%,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,18%,7%,8%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,18%,7%,3%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,-5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,2793,11172,,,,,4278789,8840276,,18229622,24869992,,,,,,,,,,,,,
FACE MALAI TOTAL,Face Malai,INSTAMART,QUICK COMMERCE,Tanu,Existing,Aug'25,Yes,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,232965,265268,310231,340826,375243,401509,451064,534053,572228,618007,667685,704408,769212,846134,947670,1014007,1084987,1150087,1219092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56738,64607,75558,83009,91391,97788,109858,123566,132398,142990,154484,162981,177976,185984,208302,222883,238485,252795,267961,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,8%,8%,8%,9%,9%,9%,9%,9%,9%,9%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,8%,8%,8%,9%,9%,9%,9%,9%,9%,9%,9%,10%,9%,9%,9%,9%,9%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,18%,7%,8%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,14%,17%,10%,10%,7%,12%,12%,7%,8%,8%,6%,9%,4%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,0%,-6%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,2377106,4911264,,10127570,13816664,,,,,,,,,,,,,
FACE MALAI TOTAL,Face Malai,ZEPTO,QUICK COMMERCE,Tanu,Existing,Jan'25,Yes,,,,,,,,,,,,,7182,,,,,,,-,-,-,-,-,-,-,-,-,,,,,93187,159162,186137,204495,225145,321207,360850,427242,457783,494406,534147,563525,615370,676908,758136,811206,867990,920068,975273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30210,43940,51386,56455,62155,88675,99619,112706,120763,130424,140907,148658,162333,178568,199996,213994,228975,242712,257275,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,3%,5%,5%,5%,5%,7%,7%,7%,7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,5%,6%,6%,6%,8%,8%,8%,8%,8%,8%,8%,9%,9%,9%,9%,9%,9%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,17%,10%,10%,43%,12%,18%,7%,8%,8%,5%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,45%,17%,10%,10%,43%,12%,13%,7%,8%,8%,6%,9%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,-25%,0%,0%,0%,0%,0%,-5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,7182,28728,,,,,1550183,3628808,,8102054,11053324,,,,,,,,,,,,,
FACE MALAI TOTAL,Face Malai,RETAIL,Retail,Tanu,Existing,Nov'25,Yes,,,,,,,,,,,,,,,,,,,,,,,46944,17436,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64380,,,,,,,,,,,64380,,,,21460,,,,,
