customer_id,order_date,category,product,sku,quantity,order_id
1000618,2024-08-04,Face Malai,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,FC-CWDM-TP-030,,F1000618|1
1000650,2024-03-23,Aloe Vera Gel,Aloe Vera Gel - 40 gms,FC-HG-PA-040,,F1000650|1
1000987,2024-03-22,Active Gel,Active Beetroot Tomato Vit-A Gel,FC-AC-BT-050,,F1000987|1
1001111,2025-05-28,Face Malai,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,FC-DM-DP-030,,F1001111|1
1001952,2025-02-06,Face Malai,Clove Tea-Tree (Anti-Acne) Face Malai,FC-DM-AA-030,,F1001952|1
1001952,2026-05-03,Face Malai,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,FC-DM-DP-030,,F1001952|2
1001952,2026-06-22,Face Malai,Flax Carrot (Hot Humid) 35+ Face Malai - 50g,FC-HHDM-FC-050,,F1001952|3
100216,2026-07-03,Face Malai,Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 30g,FC-HDDM-TR-030,,F100216|1
1002969,2024-11-06,Face Malai,Flax Walnut (Cold) 35+ Face Malai,FC-CWDM-FW-030,,F1002969|1
1003014,2025-03-19,Aloe Vera Gel,Aloe Vera Gel - 80 gms,FC-HG-PA-080,,F1003014|1
1003188,2024-06-23,Face Malai,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,FC-HHDM-TV-030,,F1003188|1
1004100,2025-04-25,Face Malai,Clove Tea-Tree (Anti-Acne) Face Malai,FC-DM-AA-030,,F1004100|1
1005203,2024-12-15,Face Malai,Flax Walnut (Cold) 35+ Face Malai,FC-CWDM-FW-030,,F1005203|1
1005203,2025-07-02,Face Malai,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,FC-DM-PG-030,,F1005203|2
1006379,2025-01-07,Face Malai,Flax Bakuchi (Hot Dry) 35+ Face Malai - 50g,FC-CWDM-FW-030,,F1006379|1
1007010,2025-04-05,Face Malai,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,FC-HDDM-FB-030,,F1007010|1
1008106,2025-04-02,Aloe Vera Gel,Aloe Vera Gel - 80 gms,FC-HG-PA-080,,F1008106|1
1008329,2024-01-31,Face Malai,Pomegranate Tulsi (Hot Dry) 13 - 19 Yrs Face Malai,FC-HDDM-PT-030,,F1008329|1
1008709,2026-05-20,Aloe Vera Gel,Aloe Vera Gel - 80 gms,FC-HG-PA-080,,F1008709|1
1008867,2024-09-03,Face Malai,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,FC-HHDM-FC-030,,F1008867|1
1009129,2024-03-15,Face Malai,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,FC-HHDM-TV-030,,F1009129|1
1010383,2025-04-14,Aloe Vera Gel,Aloe Vera Gel - 80 gms,FC-HG-PA-080,,F1010383|1
1010671,2024-05-12,Aloe Vera Gel,Aloe Vera Gel - 40 gms,FC-HG-PA-040,,F1010671|1
1010775,2024-07-29,Active Gel,Active Neem TeaTree Gel,FC-AC-NT-050,,F1010775|1
1011287,2024-10-13,Face Malai,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,FC-HDDM-FB-030,,F1011287|1
1011453,2024-02-21,Aloe Vera Gel,Aloe Vera Gel - 40 gms,FC-HG-PA-040,,F1011453|1
1011687,2025-02-08,Face Malai,Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 50g,FC-HDDM-TR-050,,F1011687|1
1012095,2025-06-16,Active Gel,Active Neem TeaTree Gel,FC-AC-NT-050,,F1012095|1
1012620,2024-02-28,Face Malai,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,FC-HHDM-TV-030,,F1012620|1
1012620,2025-10-01,Face Malai,Turmeric Nutmeg (Pigmentation)  Face Malai - 50g,FC-DM-PG-050,,F1012620|2
1013015,2025-01-29,Aloe Vera Gel,Aloe Vera Gel - 80 gms,FC-HG-PA-080,,F1013015|1
1013052,2024-09-29,Face Malai,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,FC-DM-DP-030,,F1013052|1
1014213,2024-10-10,Face Malai,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,FC-CWDM-TP-030,,F1014213|1
1014570,2024-11-13,Face Malai,Flax Walnut (Cold) 35+ Face Malai,FC-CWDM-FW-030,,F1014570|1
1014749,2024-03-06,Face Malai,Cocoa Mogra (Overnight) Face Malai - 30g,FC-DM-NR-030,,F1014749|1
