id,created_at,customer_id,product_category,product_variant,age,skin_type,hair_type,NPS Score For Brand,NPS Score For Product,Brand Customer Migrated From,What do you like about Nat Habit,What do you not like about Nat Habit,Like Product,Not like Product
273495,"Aug 27, 2025, 16:16",2753244,Active Gel,Active Orange Kiwi Vit-C Gel,39,Combination,Dry scalp & Frizzy hair,10,10,Nat Habit is my first!,,,Good moisturiser for skin|Purity of ingredients- natural and unadulterated|Effectively targets my concerns|Provides good hydration to skin|Good texture & lightweight on skin,No complaints- love the product!
273359,"Aug 27, 2025, 16:16",3404505,Active Gel,Active Neem TeaTree Gel,23,Combination,Straight hair,9,10,Nat Habit is my first!,,,Good moisturiser for skin|Good texture & lightweight on skin|Provides good hydration to skin|Effectively targets my concerns|Purity of ingredients- natural and unadulterated,No complaints- love the product!
269476,"Aug 23, 2025, 14:50",2975040,Active Gel,"Active Orange Kiwi Vit-C Gel x 2, Active Orange Kiwi Vit-C Gel",45,Normal,Straight hair,10,10,Lakme,,,Purity of ingredients- natural and unadulterated,No complaints- love the product!
265680,"Aug 20, 2025, 16:41",4118222,Active Gel,Active Orange Kiwi Vit-C Gel,43,Combination,Curly / Wavy hair,10,10,Dot and Key,,,Provides good hydration to skin,No complaints- love the product!
256796,"Aug 14, 2025, 16:03",4278173,Active Gel,"Active Neem TeaTree Gel, Active Orange Kiwi Vit-C Gel",20,Oily,Straight hair|Oily scalp,10,10,Nat Habit is my first!,,,Effectively targets my concerns|Provides good hydration to skin|Good texture & lightweight on skin|Good moisturiser for skin|Purity of ingredients- natural and unadulterated,No complaints- love the product!
277513,"Aug 30, 2025, 12:30",4351628,Active Gel,Active Aloe Cactus Hydra Lift Gel,45,Normal,Normal|Straight hair,9,9,Mamaearth,,,Provides good hydration to skin,Product is expensive
273712,"Aug 27, 2025, 16:16",3016872,Active Gel,Active Orange Kiwi Vit-C Gel,37,Dry,Normal,9,9,Emolliene,,,Good texture & lightweight on skin|Good moisturiser for skin|Purity of ingredients- natural and unadulterated,No complaints- love the product!
261231,"Aug 18, 2025, 18:41",1899106,Active Gel,Active Orange Kiwi Vit-C Gel,43,Combination,Curly / Wavy hair,9,8,ponds,,,Purity of ingredients- natural and unadulterated|Good moisturiser for skin,No complaints- love the product!
245509,"Aug 1, 2025, 13:44",1445282,Active Gel,Active Aloe Cactus Hydra Lift Gel,35,Oily,Curly / Wavy hair,10,8,Nat Habit is my first!,,,Purity of ingredients- natural and unadulterated,A mild smell
277200,"Aug 30, 2025, 12:30",4469042,Baby Maahu,Winter Baby Maahu (Balamool Sunthi) - 100 ml,30,Normal,Oily scalp|Dry scalp & Frizzy hair|Dry & Damaged,9,10,Mom's co,,,Good value for money|High purity- made of only natural good quality ingredients|Good for baby massage,No complaints- love the product!
277745,"Aug 30, 2025, 12:30",4756679,Baby Powder,Raw + Shwet Baby Powder,33,Oily,Oily scalp,10,10,Ponds,,,"Good value for money|Product is talc-free, asbestos-free & menthol free|Made of pure & natural good quality ingredients|Effective for baby's rashes",Does not spread & flow well
247053,"Aug 4, 2025, 17:04",4646082,Baby Scalp Oil,"Brahmi Winter Baby Scalp Oil - 110 ml, Brahmi Summer Baby Scalp Oil - 110 ml",35,Combination,Oily scalp,10,10,Jomemay,,,Is effective and gives good results|High purity- free of liquid paraffin and mineral oils,Product is too expensive
246085,"Aug 2, 2025, 15:04",1704300,Baby Scalp Oil,Brahmi Summer Baby Scalp Oil - 110 ml,45,Dry,Curly / Wavy hair|Dry & Damaged|Coloured,9,10,Himalaya,,,Ayurvedic preparation|Suits baby's skin & safe to apply|High purity- free of liquid paraffin and mineral oils,Little expensive
277491,"Aug 30, 2025, 12:30",4763255,Baby Scalp Oil,Brahmi Summer Baby Scalp Oil - 110 ml,35,Dry,Oily scalp,7,8,Mother Sparsh,,,Ayurvedic preparation,Product is too expensive
263812,"Aug 19, 2025, 12:24",4716456,Baby Scalp Oil,Brahmi Winter Baby Scalp Oil - 110 ml,31,Normal,Dry scalp & Frizzy hair,8,8,Normal coconut oil,,,Suits baby's skin & safe to apply,No complaints- love the product!
255754,"Aug 12, 2025, 13:55",4255104,Baby Scalp Oil,Brahmi Summer Baby Scalp Oil - 110 ml,42,Combination,Oily scalp|Curly / Wavy hair,9,7,Mamaearth,,,Ayurvedic preparation|High purity- free of liquid paraffin and mineral oils,Product is too expensive|No complaints- love the product!
257586,"Aug 14, 2025, 16:04",4641035,Bath,"Masoor Bath Ubtan - Pack of 3, Masoor Rub Bath Ubtan + Wild Turmeric Bath Ubtan",62,Combination,Oily scalp,10,10,Nat Habit is my first!,,,Skin feels refreshed post wash,Do not like pouch packaging
249633,"Aug 7, 2025, 16:02",1257279,Bath,Turmeric Bath Ubtan - Pack of 3,40,Normal,Normal,10,10,Mamaearth,,,Skin feels refreshed post wash,No complaints- love the product!
251101,"Aug 8, 2025, 11:23",1522778,Bath,Moong Bath Ubtan - Pack of 3,41,Sensitive,Curly / Wavy hair|Oily scalp|Dry scalp & Frizzy hair,9,9,Nat Habit is my first!,,,Made of all-natural good quality ingredients|Skin feels refreshed post wash,No complaints- love the product!
273582,"Aug 27, 2025, 16:16",4754122,Comb,Neem Comb - Bounce,32,Oily,Straight hair,10,10,Nat Habit is my first!,,,Good value for money,Very good product
268121,"Aug 22, 2025, 13:42",4732761,Comb,"Neem Comb - Wide Tooth, Neem Comb - Dual Tooth",24,Combination,Curly / Wavy hair|Dry scalp & Frizzy hair,10,10,Non-Branded,,,Good for untangling hair knots|Good value for money,No complaints- love the product!
267497,"Aug 22, 2025, 13:41",4742118,Comb,Neem Comb - Shampoo Small,54,Combination,Curly / Wavy hair,10,10,Non-Branded,,,Leaves hair frizz free|Good for untangling hair knots|Made of oil treated pure neem wood|Good value for money,No complaints- love the product!
264231,"Aug 19, 2025, 12:24",4343085,Comb,"Neem Comb - Dual Tooth, Neem Comb - Fine Tooth",36,Oily,Oily scalp,9,10,Non-Branded,,,Good for untangling hair knots|Leaves hair frizz free|Made of oil treated pure neem wood|Good value for money,No complaints- love the product!
258967,"Aug 15, 2025, 17:30",4678224,Comb,Neem Comb - Dual Tooth,54,Normal,Normal,10,10,Agaro,,,Leaves hair frizz free,Product is too expensive
251090,"Aug 8, 2025, 11:23",3399413,Comb,Wide Tooth Bounce Kacchi Neem Comb x 2,20,Combination,Curly / Wavy hair|Oily scalp|Dry & Damaged,7,10,Non-Branded,,,Good for untangling hair knots|Leaves hair frizz free|Made of oil treated pure neem wood,Product is too expensive
249610,"Aug 7, 2025, 16:02",2008686,Comb,"Neem Comb - Dual Tooth, Neem Comb - Fine Tooth",20,Normal,Dry scalp & Frizzy hair|Dry & Damaged,10,10,Vega,,,Leaves hair frizz free|Made of oil treated pure neem wood|Good value for money,No complaints- love the product!
250644,"Aug 8, 2025, 11:23",4669366,Comb,Neem Comb - Dual Tooth,37,Combination,Straight hair,9,9,Non-Branded,,,Good for untangling hair knots|Made of oil treated pure neem wood,Product is too expensive
276216,"Aug 28, 2025, 17:18",4751433,Comb,Neem Comb - Dual Tooth,40,Normal,Straight hair,8,8,Lily,,,Good for untangling hair knots|Leaves hair frizz free|Good value for money,No complaints- love the product!
252779,"Aug 10, 2025, 10:47",4653098,Comb,Neem Comb - Wide Tooth,23,Combination,Straight hair,9,8,Nat Habit is my first!,,,Good for untangling hair knots,No complaints- love the product!
275441,"Aug 28, 2025, 17:17",4756813,Comb,"Neem Comb - Bounce, Neem Comb - Fine Tooth",52,Dry,Dry scalp & Frizzy hair,4,7,Non-Branded,,,Good for untangling hair knots,Bristles are sharp and hurt my scalp
254888,"Aug 12, 2025, 13:54",4582822,Comb,Neem Comb - Dual Tooth,47,Sensitive,Coloured|Curly / Wavy hair|Dry & Damaged,7,5,Vega,,,Good for untangling hair knots,You can detangle your hair bot not completely and can't give your hair complete look.
277646,"Aug 30, 2025, 12:30",1054861,Face Malai,Cocoa Mogra (Overnight) Face Malai - FREE,53,Combination,Straight hair,9,10,Cetaphil,,,Effectively targets my skin concern,No complaints- love the product!
277550,"Aug 30, 2025, 12:30",4761866,Face Malai,Cocoa Mogra (Overnight) Face Malai - 50g,47,Normal,Oily scalp,10,10,Nivea,,,Feels lightweight on skin|Easy to apply & absorbs quickly,No complaints- love the product!
