Name,category_first,category_2nd,category_3rd,category_4th,category_5th,category_6th,first_purchased_short_code,second_purchased_short_code,third_purchased_short_code,fourth_purchased_short_code,fifth_purchased_short_code,sixth_purchased_short_code,first_purchased_sku,second_purchased_sku,third_purchased_sku,fourth_purchased_sku,fifth_purchased_sku,sixth_purchased_sku,first_order_date,second_order_date,third_order_date,fourth_order_date,fifth_order_date,sixth_order_date,days_between_1st_and_2nd,days_between_2nd_and_3rd,days_between_3rd_and_4th,days_between_4th_and_5th,days_between_5th_and_6th,city,Month-Year,Month Number ,Journey Depth,Is Repeat Buyer? 
27692,Face Malai,,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 50g,,,,,,FC-DM-PG-050,,,,,,"Jan 15, 2026",,,,,,,,,,,Gurgaon,2026-01,1,1,0
27835,Face Malai,,,,,,Flax Carrot (Hot Humid) 35+ Face Malai - 50g,,,,,,FC-HHDM-FC-050,,,,,,"Jun 22, 2026",,,,,,,,,,,Gurgaon,2026-06,6,1,0
27851,"Active Gel, Face Malai",,,,,,"Flax Bakuchi (Hot Dry) 35+ Face Malai - 50g, Active Neem TeaTree Gel",,,,,,"FC-HDDM-FB-050, FC-AC-NT-050",,,,,,"May 10, 2026",,,,,,,,,,,New Delhi,2026-05,5,1,0
27893,Face Malai,,,,,,Pomegranate Tulsi (Hot Dry) 13 - 19 Yrs Face Malai,,,,,,FC-HDDM-PT-030,,,,,,"Apr 7, 2024",,,,,,,,,,,Gautam Buddha Nagar,2024-04,4,1,0
28176,Face Malai,,,,,,Flax Walnut (Cold) 35+ Face Malai,,,,,,FC-CWDM-FW-030,,,,,,"Nov 20, 2024",,,,,,,,,,,New Delhi,2024-11,11,1,0
28252,Face Malai,,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,,,,,,FC-DM-PG-030,,,,,,"Jul 4, 2025",,,,,,,,,,,New Delhi,2025-07,7,1,0
28597,"Active Gel, Face Malai","Active Gel, Aloe Vera Gel",Active Gel,Active Gel,,,"Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 30g, Active Orange Kiwi Vit-C Gel","Aloe Vera Gel - 40 gms, Active Beetroot Tomato Vit-A Gel",Active Orange Kiwi Vit-C Gel,Active Orange Kiwi Vit-C Gel,,,"FC-HDDM-TR-030, FC-AC-OK-050","FC-HG-PA-040, FC-AC-BT-050",FC-AC-OK-050,FC-AC-OK-050,,,"Feb 28, 2024","Jul 1, 2024","Nov 21, 2024","Mar 24, 2025",,,124,143,123,,,New Delhi,2024-02,2,4,1
28670,Active Gel,,,,,,Active Orange Kiwi Vit-C Gel,,,,,,FC-AC-OK-050,,,,,,"Apr 25, 2026",,,,,,,,,,,Gurgaon,2026-04,4,1,0
29105,Face Malai,,,,,,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,,,,,,FC-HDDM-FB-030,,,,,,"Sep 1, 2024",,,,,,,,,,,Gurgaon,2024-09,9,1,0
29346,Face Malai,,,,,,"Cocoa Mogra (Overnight) Face Malai - 30g, Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g",,,,,,"FC-HDDM-FB-030, FC-DM-NR-030",,,,,,"Apr 22, 2024",,,,,,,,,,,New Delhi,2024-04,4,1,0
29379,Face Malai,,,,,,Flax Walnut (Cold) 35+ Face Malai,,,,,,FC-CWDM-FW-030,,,,,,"Jan 4, 2024",,,,,,,,,,,New Delhi,2024-01,1,1,0
29483,Face Malai,Face Malai,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,,,,,FC-DM-PG-030,FC-DM-PG-030,,,,,"Jan 15, 2024","Mar 7, 2024",,,,,52,,,,,New Delhi,2024-01,1,2,1
29860,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Sep 13, 2024",,,,,,,,,,,New Delhi,2024-09,9,1,0
29922,Face Malai,,,,,,"Cocoa Mogra (Overnight) Face Malai - 30g, Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai",,,,,,"FC-CWDM-TP-030, FC-DM-NR-030",,,,,,"Nov 6, 2024",,,,,,,,,,,Agra,2024-11,11,1,0
30027,Face Malai,,,,,,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,,,,,,FC-HHDM-TV-030,,,,,,"Mar 19, 2024",,,,,,,,,,,New Delhi,2024-03,3,1,0
30256,Face Malai,,,,,,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,,,,,,FC-HHDM-TV-030,,,,,,"Aug 23, 2024",,,,,,,,,,,New Delhi,2024-08,8,1,0
30491,Face Malai,,,,,,"Turmeric Nutmeg (Pigmentation)  Face Malai - 50g , Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai",,,,,,"FC-CWDM-TP-030, FC-DM-PG-050",,,,,,"Nov 10, 2025",,,,,,,,,,,New Delhi,2025-11,11,1,0
30705,Face Malai,,,,,,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,,,,,,FC-HHDM-FC-030,,,,,,"Feb 25, 2024",,,,,,,,,,,New Delhi,2024-02,2,1,0
31079,Face Malai,Aloe Vera Gel,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,Aloe Vera Gel - 80 gms,,,,,FC-DM-PG-030,FC-HG-PA-080,,,,,"Jan 13, 2024","Mar 1, 2026",,,,,778,,,,,New Delhi,2024-01,1,2,1
31176,Aloe Vera Gel,,,,,,Aloe Vera Gel - 40 gms,,,,,,FC-HG-PA-040,,,,,,"Mar 22, 2024",,,,,,,,,,,Ghaziabad,2024-03,3,1,0
31291,Face Malai,Active Gel,Face Malai,Active Gel,Active Gel,,Cocoa Mogra (Overnight) Face Malai - 30g,Active Orange Kiwi Vit-C Gel,Flax Walnut (Cold) 35+ Face Malai,Active Orange Kiwi Vit-C Gel,Active Orange Kiwi Vit-C Gel,,FC-DM-NR-030,FC-AC-OK-050,FC-CWDM-FW-030,FC-AC-OK-050,FC-AC-OK-050,,"Oct 6, 2024","Oct 12, 2024","Dec 8, 2024","Feb 11, 2025","Feb 6, 2026",,6,57,65,360,,Gautam Buddha Nagar,2024-10,10,5,1
31470,Face Malai,,,,,,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,,,,,,FC-DM-PG-030,,,,,,"Feb 5, 2025",,,,,,,,,,,Bengaluru,2025-02,2,1,0
32145,Aloe Vera Gel,,,,,,Aloe Vera Gel - 80 gms,,,,,,FC-HG-PA-080,,,,,,"Oct 16, 2025",,,,,,,,,,,New Delhi,2025-10,10,1,0
32627,Face Malai,,,,,,"Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai, Turmeric Nutmeg (Pigmentation)  Face Malai - 30g",,,,,,"FC-CWDM-TP-030, FC-DM-PG-030",,,,,,"Dec 24, 2025",,,,,,,,,,,New Delhi,2025-12,12,1,0
32727,Face Malai,,,,,,"Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 30g, Cocoa Mogra (Overnight) Face Malai - 30g",,,,,,"FC-HDDM-TR-030, FC-DM-NR-030",,,,,,"Oct 25, 2025",,,,,,,,,,,New Delhi,2025-10,10,1,0
32934,Aloe Vera Gel,Aloe Vera Gel,Aloe Vera Gel,,,,Aloe Vera Gel - 80 gms,Aloe Vera Gel - 80 gms,Aloe Vera Gel - 80 gms,,,,FC-HG-PA-080,FC-HG-PA-080,FC-HG-PA-080,,,,"Jun 21, 2025","Mar 29, 2026","Jun 23, 2026",,,,281,86,,,,New Delhi,2025-06,6,3,1
33027,Aloe Vera Gel,,,,,,Aloe Vera Gel - 80 gms,,,,,,FC-HG-PA-080,,,,,,"Jul 10, 2025",,,,,,,,,,,New Delhi,2025-07,7,1,0
34274,Face Malai,,,,,,Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 30g,,,,,,FC-HDDM-TR-030,,,,,,"Jul 13, 2024",,,,,,,,,,,New Delhi,2024-07,7,1,0
