Variant Key,Winter (Dec,Pre-Summer,Summer,Monsoon,Post-Monsoon,Total,Peak Season,Avg Purchase Gap Days ,Intended Season,Season Match?,Seasonality Strength,,,,,,,
Turmeric Nutmeg,"10,934","9,389","7,641","9,133","7,514","44,611",Winter,111.7,Not Season Specific,—,Evergreen,,,,,,,
Flax Carrot,"1,991","2,551","2,355","3,230","1,163","11,290",Monsoon,128.0,Monsoon,Matches,Evergreen,,,,,,,
Pomegranate Tulsi,412,682,430,291,127,"1,942",Pre-Summer,137.9,Summer,No Match,Moderately Seasonal,,,,,,,
Flax Walnut,"7,584",657,535,"1,296","6,238","16,310",Winter,115.3,Winter,Matches,Highly Seasonal,,,,,,,
Flax Bakuchi,"2,519","3,648","2,394","1,588",966,"11,115",Pre-Summer,129.5,Pre-Summer,Matches,Moderately Seasonal,,,,,,,
Cocoa Mogra,"5,265","4,803","3,645","4,343","3,848","21,904",Winter,114.4,Not Season Specific,—,Evergreen,,,,,,,
Tomato Patchouli,"3,159",182,253,613,"2,759","6,966",Winter,119.6,Winter,Matches,Highly Seasonal,,,,,,,
Tomato Vetiver,"1,528","2,061","1,746","2,180",876,"8,391",Monsoon,124.5,Monsoon,Matches,Evergreen,,,,,,,
Tomato Rosehip,"1,763","2,749","1,588","1,044",724,"7,868",Pre-Summer,119.9,Pre-Summer,Matches,Moderately Seasonal,,,,,,,
Honey Multi-Nut,"2,307","1,303",833,952,"1,393","6,788",Winter,109.2,Winter,Matches,Moderately Seasonal,,,,,,,
GreenApple Tulsi,477,606,541,749,265,"2,638",Monsoon,116.5,Monsoon,Matches,Evergreen,,,,,,,
Clove Tea-Tree,"1,949","1,274","1,179","1,334",991,"6,727",Winter,113.2,Not Season Specific,—,Evergreen,,,,,,,
Winter Blackseed,716,57,75,193,662,"1,703",Winter,110.7,Winter,Matches,Highly Seasonal,,,,,,,
Total,"40,604","29,962","23,215","26,946","27,526","148,253",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Variant Key,Cold Winter (Dec - Feb),Hot Dry (March - May),Hot Humid (June - September,Non Seasonal / Concern Variants,Gels (Active /Aloe,Total,Peak Season,Intended Season,V2V Loyalty,V2C Loyalty,Avg Purchase Days V2V,Most Common 2nd order V2V,Avg Order Count V2V  ,Avg Purchase Days V2C,Most Common 2nd order V2C,Avg Order Count V2C,,
Turmeric Nutmeg 30g,#REF!,,,,,,,,,,,,,,,,,
Turmeric Nutmeg 50g,,,,,,,,,,,,,,,,,,
Flax Carrot 30g,,,,,,,,,,,,,,,,,,
Flax Carrot 50g,,,,,,,,,,,,,,,,,,
Pomegranate Tulsi 30g,,,,,,,,,,,,,,,,,,
Pomegranate Tulsi 50g,,,,,,,,,,,,,,,,,,
Flax Walnut 30g,,,,,,,,,,,,,,,,,,
Flax Walnut 50g,,,,,,,,,,,,,,,,,,
Flax Bakuchi 30g,,,,,,,,,,,,,,,,,,
Flax Bakuchi 50g,,,,,,,,,,,,,,,,,,
Cocoa Mogra 30g,,,,,,,,,,,,,,,,,,
Cocoa Mogra 50g,,,,,,,,,,,,,,,,,,
Tomato Patchouli 30g,,,,,,,,,,,,,,,,,,
Tomato Patchouli 50g,,,,,,,,,,,,,,,,,,
Tomato Vetiver 30g,,,,,,,,,,,,,,,,,,
Tomato Vetiver 50g,,,,,,,,,,,,,,,,,,
Tomato Rosehip 30g,,,,,,,,,,,,,,,,,,
Tomato Rosehip 50g,,,,,,,,,,,,,,,,,,
Honey Multi-Nut 30g,,,,,,,,,,,,,,,,,,
Honey Multi-Nut 50g,,,,,,,,,,,,,,,,,,
Green Apple Tulsi 30g,,,,,,,,,,,,,,,,,,
Green Apple Tulsi 50g,,,,,,,,,,,,,,,,,,
Clove Tea-Tree 30g,,,,,,,,,,,,,,,,,,
Clove Tea-Tree 50g,,,,,,,,,,,,,,,,,,
Winter Blackseed Tulsi 30g,,,,,,,,,,,,,,,,,,
Winter Blackseed Tulsi 50g,,,,,,,,,,,,,,,,,,
Neem TeaTree 50g,,,,,,,,,,,,,,,,,,
Aloe Cactus Hydra Lift 50g,,,,,,,,,,,,,,,,,,
Olive Vit-E Night 50g,,,,,,,,,,,,,,,,,,
Beetroot Tomato Vit-A 50g,,,,,,,,,,,,,,,,,,
Orange Kiwi Vit-C 50g,,,,,,,,,,,,,,,,,,
Aloe Vera Gel 40g,,,,,,,,,,,,,,,,,,
Aloe Vera Gel 80g,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CONCLUSION,,,,,,,,,,,,,,,,,,
Is Face Malai Seasonal?,NO — Mostly evergreen with 6 evergreen variants,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
