2026-08-03 18:16:47,,,,,,,,,,,,,,,,
onb_month,first_order,sec_order,sec_pct,avg_days_to_sec,third_order,third_pct,avg_days_to_third,fourth_order,fourth_pct,avg_days_to_fourth,fifth_order,fifth_pct,avg_days_to_fifth,sixth_order,sixth_pct,avg_days_to_sixth
2019-03-01,1,1,100%,30,1,100%,1,1,100%,15,1,100%,8,1,100%,50
2019-04-01,19,15,79%,203.9333333,11,58%,123.9090909,9,47%,338,8,42%,132.125,8,42%,226.375
2019-05-01,122,99,81%,233.3737374,83,68%,305.8795181,66,54%,112.4090909,60,49%,143.9,53,43%,149.8490566
2019-06-01,197,143,73%,314.5594406,109,55%,193.8990826,95,48%,228.1473684,75,38%,194.9733333,63,32%,202.7142857
2019-07-01,686,493,72%,280.1338742,380,55%,205.1789474,301,44%,214.3887043,252,37%,193.3095238,204,30%,158.9460784
2019-08-01,702,487,69%,257.4579055,377,54%,215.7904509,311,44%,175.6913183,267,38%,202.835206,218,31%,144.6055046
2019-09-01,1237,813,66%,232.8733087,595,48%,206.2504202,459,37%,196.3681917,368,30%,154.375,300,24%,185.9766667
2019-10-01,1095,715,65%,266.2685315,505,46%,212.0257426,390,36%,205.9205128,299,27%,181.4080268,238,22%,218.9831933
2019-11-01,727,476,65%,192.5588235,351,48%,230.5099715,270,37%,204.962963,197,27%,166.1979695,158,22%,179.2278481
2019-12-01,608,385,63%,243.8857143,265,44%,255.6603774,195,32%,197.8410256,155,25%,238.6258065,122,20%,167.6639344
2020-01-01,1236,766,62%,274.5417755,526,43%,246.1368821,381,31%,214.1889764,299,24%,221.5250836,226,18%,189.1238938
2020-02-01,1642,917,56%,315.2333697,578,35%,278.9411765,416,25%,228.5576923,312,19%,192.8108974,249,15%,182.6827309
2020-03-01,1221,644,53%,417.7375776,455,37%,260.8681319,333,27%,253.2012012,248,20%,183.5524194,198,16%,201.0858586
2020-06-01,1,1,100%,32,0,0%,,0,0%,,0,0%,,0,0%,
2020-07-01,3407,2028,60%,253.6203156,1392,41%,215.1637931,1026,30%,204.9239766,771,23%,175.8690013,605,18%,171.1487603
2020-08-01,6525,3621,55%,272.1576912,2436,37%,244.0997537,1774,27%,211.2717024,1351,21%,186.3508512,1044,16%,177.3965517
2020-09-01,1822,983,54%,260.1658189,659,36%,237.3748103,489,27%,205.2903885,372,20%,175.0295699,293,16%,179.9488055
2020-10-01,549,295,54%,265.2338983,198,36%,199.9242424,146,27%,254.1232877,107,19%,184.9906542,78,14%,126.0512821
2020-11-01,1519,791,52%,273.1656131,542,36%,223.0498155,394,26%,212.5,299,20%,214.6622074,237,16%,185.4092827
2020-12-01,1987,1076,54%,262.7630112,737,37%,208.5739484,537,27%,198.0912477,423,21%,183.5744681,328,17%,167.2530488
2021-01-01,4432,2447,55%,287.0408664,1682,38%,225.4078478,1219,28%,187.8589007,955,22%,173.2240838,760,17%,158.5394737
2021-02-01,6593,3658,55%,311.5992346,2490,38%,227.1895582,1784,27%,196.9899103,1338,20%,177.0366218,1022,16%,159.1585127
2021-03-01,7011,3750,53%,291.636,2468,35%,215.8431929,1776,25%,197.6621622,1376,20%,181.409157,1070,15%,163.4859813
2021-04-01,8392,4135,49%,305.9182588,2587,31%,224.29339,1797,21%,207.3711742,1334,16%,190.5569715,995,12%,157.0321608
