product_onb_date,product_category,sku,Lookup Price thing,short_code,channel,Customer,15 Days %,30 Days %,60 Days %,90 Days %,120 Days %,180 Days %,240 Days %,300 Days %,360 Days %,,,,,,,FC-DM-PG-030,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,"Same-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-CWDM-FW-030,"Decreased-Price Revision - 2nd February, 2026",Flax Walnut (Cold) 35+ Face Malai,D2C,185,0.54,1.08,1.08,1.62,2.16,2.16,2.16,2.16,2.16,,,,,,,FC-HDDM-FB-030,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,"Decreased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-HHDM-GAT-030,"Same-Price Revision - 2nd February, 2026",GreenApple Tulsi (Hot Humid) 13 - 19 Yrs Face Malai,D2C,52,0,1.92,3.85,3.85,3.85,3.85,3.85,3.85,3.85,,,,,,,FC-DM-NR-030,Cocoa Mogra (Overnight) Face Malai - 30g,"Same-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-HHDM-TV-030,"Decreased-Price Revision - 2nd February, 2026
50g variant also launched",Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,D2C,148,0.68,2.03,4.05,4.73,6.08,7.43,7.43,7.43,7.43,,,,,,,FC-HHDM-FC-030,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,"Decreased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-HHDM-FC-030,"Decreased-Price Revision - 2nd February, 2026",Flax Carrot (Hot Humid) 35+ Face Malai - 30g,D2C,157,0,0.64,3.18,4.46,5.73,6.37,6.37,6.37,6.37,,,,,,,FC-HDDM-FB-050,Flax Bakuchi (Hot Dry) 35+ Face Malai - 50g,"Decreased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-DM-NR-030,"Same-Price Revision - 2nd February, 2026",Cocoa Mogra (Overnight) Face Malai - 30g,D2C,334,0.6,1.2,2.4,4.19,5.99,6.59,6.59,6.59,6.59,,,,,,,FC-HDDM-TR-030,Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 30g,"Decreased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-HDDM-PT-030,"Same-Price Revision - 2nd February, 2026",Pomegranate Tulsi (Hot Dry) 13 - 19 Yrs Face Malai,D2C,97,0,2.06,8.25,10.31,11.34,11.34,11.34,11.34,11.34,,,,,,,FC-DM-PG-050,Turmeric Nutmeg (Pigmentation)  Face Malai - 50g,"Same-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-HDDM-FB-030,"Decreased-Price Revision - 2nd February, 2026",Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,D2C,176,0.57,1.14,3.41,5.11,6.82,6.82,6.82,6.82,6.82,,,,,,,FC-HHDM-TV-030,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai,"Decreased-Price Revision - 2nd February, 2026
50g variant also launched",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-DM-PG-030,"Same-Price Revision - 2nd February, 2026",Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,D2C,509,0,0.2,1.96,3.93,5.11,6.09,6.09,6.09,6.09,,,,,,,FC-HHDM-FC-050,Flax Carrot (Hot Humid) 35+ Face Malai - 50g,"Decreased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-HDDM-TR-030,"Decreased-Price Revision - 2nd February, 2026",Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 30g,D2C,108,0,0.93,2.78,2.78,2.78,3.7,3.7,3.7,3.7,,,,,,,FC-HDDM-TR-050,Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 50g,"Decreased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-DM-AA-030,"Increased-Price Revision - 2nd February, 2026",Clove Tea-Tree (Anti-Acne) Face Malai,D2C,210,0,2.86,4.76,6.67,7.62,9.05,9.05,9.05,9.05,,,,,,,FC-HDDM-PT-030,Pomegranate Tulsi (Hot Dry) 13 - 19 Yrs Face Malai,"Same-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-DM-DP-030,"Same-Price Revision - 2nd February, 2026",Honey Multi-Nut (Dry & Peeling Skin) Face Malai,D2C,147,1.36,2.04,2.72,2.72,3.4,4.08,4.08,4.08,4.08,,,,,,,FC-DM-AA-030,Clove Tea-Tree (Anti-Acne) Face Malai,"Increased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-CWDM-BT-030,"Decreased-Price Revision - 2nd February, 2026",Winter Blackseed Tulsi (Cold) 13 - 19 Yrs Face Malai,D2C,25,0,0,0,0,0,0,0,0,0,,,,,,,FC-DM-NR-050,Cocoa Mogra (Overnight) Face Malai - 50g,"Same-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-CWDM-TP-030,"Decreased-Price Revision - 2nd February, 2026",Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,D2C,91,1.1,1.1,1.1,2.2,2.2,3.3,3.3,3.3,3.3,,,,,,,FC-HHDM-GAT-030,GreenApple Tulsi (Hot Humid) 13 - 19 Yrs Face Malai,"Same-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-HDDM-FB-050,"Decreased-Price Revision - 2nd February, 2026",Flax Bakuchi (Hot Dry) 35+ Face Malai - 50g,D2C,380,0.26,1.05,4.47,6.05,6.58,6.84,6.84,6.84,6.84,,,,,,,FC-DM-DP-030,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,"Same-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-HHDM-FC-050,"Decreased-Price Revision - 2nd February, 2026",Flax Carrot (Hot Humid) 35+ Face Malai - 50g,D2C,220,0.45,0.91,2.27,4.09,5.91,7.73,7.73,7.73,7.73,,,,,,,FC-CWDM-FW-030,Flax Walnut (Cold) 35+ Face Malai,"Decreased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-HDDM-TR-050,"Decreased-Price Revision - 2nd February, 2026",Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 50g,D2C,217,0,0.46,1.84,5.53,6.45,7.83,7.83,7.83,7.83,,,,,,,FC-CWDM-TP-030,Tomato Patchouli (Cold) 20 - 35 Yrs Face Malai,"Decreased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-DM-NR-050,"Same-Price Revision - 2nd February, 2026",Cocoa Mogra (Overnight) Face Malai - 50g,D2C,117,0,0,3.42,3.42,6.84,9.4,9.4,9.4,9.4,,,,,,,FC-CWDM-BT-030,Winter Blackseed Tulsi (Cold) 13 - 19 Yrs Face Malai,"Decreased-Price Revision - 2nd February, 2026",MP+D2C,Winter Heavy
"Feb 1, 2026",Face Malai,FC-DM-PG-050,"Same-Price Revision - 2nd February, 2026",Turmeric Nutmeg (Pigmentation)  Face Malai - 50g,D2C,474,0,0.63,4.64,7.38,8.44,10.13,10.13,10.13,10.13,,,,,,,,,,,
"Feb 1, 2026",Face Malai,FC-HHDM-TV-050,New 50g Variant Launch,Tomato Vetiver (Hot Humid) 20 - 35 Yrs Face Malai - 50g,D2C,24,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3671,,,,,,,,,,,,,,,,,,,,
