order_date,sku,order_source,short_code,product_category,orders,customers,qty,rev
"Jul 25, 2026",FK-SH-HB-300,Flipkart,Hibiscus Shampoo - 300g,Navdha Shampoo,7,7,7,1303.6
"Jul 25, 2026",BC-CP-VC-200,D2C,Virgin Coconut Oil - 200ml,CP Hair Oil,4,4,10,1919.34
"Jul 25, 2026",HR-HO-CS-100,Flipkart,Curry Sesame Winter Hair Oil - 100 ml,Winter Hair Oil,2,2,2,424
"Jul 25, 2026",HR-SH-HB-650,Flipkart,Hibiscus Shampoo - 650 ml,Navdha Shampoo,3,3,3,2100.5
"Jul 25, 2026",HR-HIP-IP-85,First Cry,HUFA Pigment Indigo Powder - 85g,Indigo Powder,5,5,5,857.47
"Jul 25, 2026",AC-KNC-DWT-02,Meesho,Neem Comb Combo Dual + Wide,Comb,1,1,1,375
"Jul 25, 2026",FC-DM-PG-030,D2C,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,Face Malai,17,17,17,4772.41
"Jul 25, 2026",HR-SH-CC-250,Flipkart,Curry Cider Shampoo - 250g,Navdha Shampoo,3,3,4,854.4
"Jul 25, 2026",BC-PO-CO-200,Myntra,Pure Coconut Oil - 200ml,Pure Oil,2,2,2,398
"Jul 25, 2026",HR-SHO-NB-100,Nykaa,Neem Bhringraj Summer Hair Oil - 100 ml,Summer Hair Oil,8,8,8,1869.29
"Jul 25, 2026",BC-BL-RFR-250,Myntra,Fig Rose Malai Lotion,Malai Lotion,1,1,1,299
"Jul 25, 2026",BA-SMA-BN-100,Nykaa,Summer Baby Maahu (Balamool Nimbuka) - 100 ml,Baby Maahu,5,4,5,1463.35
"Jul 25, 2026",FC-KL-FM-040,Myntra,Flaxseed Manjistha Lepa - Pack of 1,Lepa,1,1,1,183
"Jul 25, 2026",BC-SM-RFR-120,D2C,Fig Rose Skin Malai - 120 ml - Single Pack,Malai,8,8,10,3040.79
"Jul 25, 2026",AC-KNC-NT-00,Flipkart,Neem Comb - Fine Tooth,Comb,2,2,2,306
"Jul 25, 2026",BC-CP-VC-200,Nykaa,Virgin Coconut Oil - 200ml,CP Hair Oil,1,1,2,418
"Jul 25, 2026",BC-CPS-NB-125,Myntra,Neem Basil Soap - Single Pack,Soap,1,1,1,165
"Jul 25, 2026",FC-CWDM-BT-030,D2C,Winter Blackseed Tulsi (Cold) 13 - 19 Yrs Face Malai,Face Malai,1,1,1,280.33
"Jul 25, 2026",BC-CP-AL-050,Nykaa,Almond Oil - 50 ml,CP Hair Oil,5,5,5,1537.45
"Jul 25, 2026",EC-UE-PN-009,D2C,Netraa - Under Eye Roll On Serum,Pure Netraa,23,23,25,5446.27
"Jul 25, 2026",AC-KNC-WTSS-00,Myntra,Neem Comb - Shampoo Small,Comb,14,14,14,2142
"Jul 25, 2026",HR-SH-HB-250,Snapdeal,Five Oil Hibiscus Shampoo - 250g,Navdha Shampoo,1,1,2,492
"Jul 25, 2026",FC-DU-DR-040,D2C,Delicate Rose Ubtan - Single Pack,Ubtan,25,25,34,2832.94
"Jul 25, 2026",HR-SH-CC-250,Nykaa,Curry Cider Shampoo - 250g,Navdha Shampoo,9,9,10,2541.09
"Jul 25, 2026",FC-AC-OV-050,Flipkart,Active Olive Vit-E Night Gel,Active Gel,1,1,1,304
"Jul 25, 2026",FC-KL-BM-040,Nykaa,Banana Mulethi Lepa - Pack of 1,Lepa,2,2,3,572.85
"Jul 25, 2026",HR-HIP-IP-85,D2C,HUFA Pigment Indigo Powder - 85g,Indigo Powder,162,157,175,44870.54
"Jul 25, 2026",AC-KNC-FTP-00,Amazon,Neem Comb - Pocket (Pack of 1),Comb,2,2,3,364.37
"Jul 25, 2026",FK-SH-TR-300,Flipkart,Trileaf Rosemary Shampoo - 300g,Navdha Shampoo,19,19,20,3898.24
"Jul 25, 2026",BC-CP-SE-200,First Cry,Sesame Oil - 200 ml,CP Body Oil,1,1,1,158.5
"Jul 25, 2026",BC-PO-AL-50,D2C,Pure Almond (Badam) Oil - 50ml,Pure Oil,4,4,4,761.6
"Jul 25, 2026",BA-BP-SC-150,Amazon,Shwet Chandan Baby Powder,Baby Powder,21,21,24,5183.42
"Jul 25, 2026",BC-CPS-EO-125,First Cry,Orange Soap - Single Pack,Soap,3,3,11,1193.5
"Jul 25, 2026",BC-EO-TT-015,Nykaa,Tea Tree Essential Oil - 15ml,Essential Oil,7,7,7,2244.83
"Jul 25, 2026",AC-KNC-FTSS-00,Snapdeal,Neem Comb - Styling Small,Comb,1,1,1,139
"Jul 25, 2026",FT-FS-CR-050,D2C,Cinnamon Respite Foot Salt - Single Pack,Foot Salt,3,3,6,301.5
"Jul 25, 2026",HR-HB-HB-025,Nykaa,Hibiscus Blackseed Hair Balm,Hair Balm,5,5,5,1346.51
"Jul 25, 2026",BA-BML-AD-200,Nykaa,Baby Malai Lotion Almond & Dates,Baby Malai Lotion,2,2,2,714
"Jul 25, 2026",FC-AC-BT-050,D2C,Active Beetroot Tomato Vit-A Gel,Active Gel,3,3,3,1007.5
