order_date,sku,order_source,short_code,product_category,orders,customers,qty,rev
"Jul 25, 2026",BC-BL-PM-250,D2C,Peach Milk Malai Lotion - 250ml,Face Malai,2,2,2,410.73
"Jul 25, 2026",FC-AC-OV-050,Flipkart,Active Olive Vit-E Night Gel,Active Gel,1,1,1,304
"Jul 25, 2026",FC-DM-AA-030,Myntra,Clove Tea-Tree (Anti-Acne) Face Malai,Face Malai,1,1,1,332
"Jul 25, 2026",FC-DM-NR-030,Myntra,Cocoa Mogra (Overnight) Face Malai - 30g,Face Malai,2,2,2,501
"Jul 25, 2026",FC-AC-OK-050,Pop Club,Active Orange Kiwi Vit-C Gel,Active Gel,1,1,1,249
"Jul 25, 2026",FC-DM-AA-030,D2C,Clove Tea-Tree (Anti-Acne) Face Malai,Face Malai,20,20,21,5578.2
"Jul 25, 2026",FC-HDDM-TR-050,D2C,Tomato Rosehip (Hot Dry) 20 - 35 Yrs Face Malai - 50g,Face Malai,1,1,2,375
"Jul 25, 2026",FC-DM-PG-030,Flipkart,Turmeric Nutmeg (Pigmentation)  Face Malai - 30g,Face Malai,25,25,26,2396.89
"Jul 25, 2026",EC-UE-FNC-020,Myntra,Netraa Cream - UnderEye Vit-E Cream,Pure Netraa,3,3,3,854
"Jul 25, 2026",FC-DM-DP-030,Nykaa,Honey Multi-Nut (Dry & Peeling Skin) Face Malai,Face Malai,3,3,3,763.8
"Jul 25, 2026",FC-DM-NR-030,D2C,Cocoa Mogra (Overnight) Face Malai - 30g,Face Malai,7,7,7,2257.45
"Jul 25, 2026",BA-FM-MNO-075,First Cry,Baby Face Malai Multi-Nut Oats Vit-E,Baby Face Malai,8,8,8,2085.28
"Jul 25, 2026",FC-AC-NT-050,First Cry,Active Neem TeaTree Gel,Active Gel,2,2,2,459
"Jul 25, 2026",FC-HHDM-FC-030,Nykaa,Flax Carrot (Hot Humid) 35+ Face Malai - 30g,Face Malai,4,4,4,1037.43
"Jul 25, 2026",EC-UE-PN-009,Nykaa,Netraa - Under Eye Roll On Serum,Pure Netraa,23,23,23,5952.72
"Jul 25, 2026",FC-HDDM-FB-030,Nykaa,Flax Bakuchi (Hot Dry) 35+ Face Malai - 30g,Face Malai,4,4,4,1018.4
"Jul 25, 2026",FC-AC-OV-050,D2C,Active Olive Vit-E Night Gel,Active Gel,8,8,8,2208.99
